id,status,name,company_type,Type,cidade,estado,carteira,Assinatura,Novo company_type,Nova carteira
93722,inactive,Line Motors,Revenda,company,São José dos Pinhais,Paraná,Carteira CS - Bruna Rodrigues,#N/A,Revendas,Diogo Ramos
93723,active,Barigüi Ponta Grossa,Concessionaria,company,Ponta Grossa,Paraná,Carteira CS - Kelly Viana,#N/A,Concessionárias,
93724,inactive,Porto Automoveis,Revenda,company,Santos,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93726,inactive,Jj Veiculos,Revenda,company,Pelotas,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93727,active,City Motors,Revenda,company,São José do Rio Preto,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93728,active,Autolider Veículos,Revenda,company,Aparecida de Goiânia,Goiás,Carteira CS - Kelly Viana,#N/A,Concessionárias,
93729,inactive,Md Motos,Revenda,company,Hortolândia,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93731,inactive,V2 Multimarcas,Revenda,company,Jundiaí,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93732,inactive,Conmotors,Revenda,company,Paranaíba,Mato Grosso do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93733,inactive,Zapcar Multimarcas,Revenda,company,Recife,Pernambuco,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93735,inactive,Autoplus Ford Joacaba,Revenda,company,Joaçaba,Santa Catarina,Carteira UsadosBR,#N/A,Concessionárias,
93736,inactive,Toyoserra,Revenda,company,Petrópolis,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93737,inactive,Camaro Veiculos,Revenda,company,Rio de Janeiro,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93738,inactive,Big Mix Veiculos,Revenda,company,Ananindeua,Pará,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93739,inactive,Listoni Automoveis,Revenda,company,Trindade do Sul,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
